store_code,store_name,chainname,subchainname,storeid,address,city,zipcode,latitude,longitude,average_price_diff,kashi_item_count
shu_269,"יוניברס פ""ת- סגולה",שופרסל,יוניברס,269,הרב מסעוד אשר20א,פתח תקווה,4900519,32.0999994,34.8951845,-5.148687432,2781
shu_271,שלירחובות- יעקובי,שופרסל,שופרסל שלי,271,פנחס יעקובי 1,רחובות,0,31.8820899,34.8147164,6.569712921,3660
shu_272,שלי גבעתיים- ויצמן,שופרסל,שופרסל שלי,272,ויצמן 20,גבעתיים,5339005,32.0741055,34.8083823,5.227678524,2662
shu_274,"אקספרס ת""א- פלורנטין",שופרסל,שופרסל אקספרס,274,פלורנטין 27,תל אביב יפו,,32.0562844,34.7697156,12.00048247,2492
shu_276,"יוניברס אמט""ל רחובות",שופרסל,יוניברס,276,רח משה יתום  46,רחובות,76396,31.89210227,34.7897242,-5.23632442,2729
shu_277,אקספרס.בני בנימין הרצליה,שופרסל,שופרסל אקספרס,277,בני בנימין 23,הרצליה,,32.1722076,34.8405805,11.68261022,2535
shu_278,"שלי פ""ת -העצמאות",שופרסל,שופרסל שלי,278,העצמאות 65,פתח תקווה,4937999,32.074364,34.8696498,5.156249222,2754
shu_279,"אקספרס-ת""א דרויאנוב",שופרסל,שופרסל אקספרס,279,רח' דרויאנוב 5,תל אביב יפו,,32.076927,34.771436,12.03472591,2504
shu_281,דיל מגדל העמק- המדע,שופרסל,שופרסל דיל,281,שד' מדע 77,מגדל העמק,0,32.67834062,35.24339289,-4.311157974,2883
shu_282,דיל צומת גבעת מרדכי,שופרסל,שופרסל דיל,282,"רח' שחר 79, ירושלים.",ירושלים,7692000,31.76628877,35.19460457,-3.960223083,3257
shu_283,"יוניברס קרית עקרון- ביל""ו",שופרסל,יוניברס,283,"מ.תדיראן,ק.עקרון",רחובות,7692000,31.861232,34.817667,-5.23146025,2614
shu_284,שלי תל מונד- הדקל,שופרסל,שופרסל שלי,284,הדקל 49,תל מונד,4060049,32.2535587,34.9180425,6.451906149,2965
shu_285,"אקספרס סוקולוב פ""ת",שופרסל,שופרסל אקספרס,285,סוקולוב 26,פתח תקווה,,32.0913108,34.8933094,11.91282759,2596
shu_287,שלי גבעתיים-שביט,שופרסל,שופרסל שלי,287,עמישב 45,גבעתיים,5348832,32.06188232,34.80641679,6.685054443,3389
shu_288,יש רחובות- סירני,שופרסל,יש בשכונה,288,חיים סרני 1,רחובות,7626902,31.8933255,34.8215304,-4.175188689,1472
shu_290,"דיל  פ""ת- יכין סנטר",שופרסל,שופרסל דיל,290,יצחק רבין 17,פתח תקווה,4951711,32.0878644,34.8597884,-3.969642466,2745
shu_295,יש חסד בני ברק-שלמה המלך,שופרסל,יש חסד,295,שלמה המלך   12,בני ברק,5155205,32.07889547,34.84055668,-14.06265911,1655
shu_296,"אקספרס פ""ת רחל המשוררת",שופרסל,שופרסל אקספרס,296,רחל המשוררת 29,פתח תקווה,,32.0841111,34.8954469,11.90886928,2426
shu_297,יוניברס חדרה- ארבע האגודות,שופרסל,יוניברס,297,ארבע אגודות 1,חדרה,3843101,32.43537405,34.90872722,-5.298912445,2680
shu_299,אקספרס הוד השרון,שופרסל,שופרסל אקספרס,299,חנקין 12,הוד השרון,0,32.15986373,34.90509874,11.67588618,2138
shu_300,יש חסד בארות יצחק- פאוור,שופרסל,יש חסד,300,בארות יצחק,בארות יצחק,0,32.0468299,34.9085715,-13.95522109,1941
shu_301,אקספרס אחי מאיר,שופרסל,שופרסל אקספרס,301,1 אחי מאיר,תל אביב יפו,0,32.1253734,34.7984514,11.84301949,2832
shu_302,שלי חיפה- קלר,שופרסל,שופרסל שלי,302,קלר 7,חיפה,3448314,32.802313,34.9831698,4.911143223,2563
shu_303,אקספרס טבעון - יהודה הנשיא,שופרסל,שופרסל אקספרס,303,יהודה הנשיא,קרית טבעון,3604701,32.7146161,35.1252205,12.00348035,2821
shu_305,"אקספרסת""א- יהודה המכבי",שופרסל,שופרסל אקספרס,305,יהודה מכבי 81,תל אביב יפו,,32.094182,34.7928439,11.96023747,3026
shu_306,יש נוה שאנן חיפה- חניתה,שופרסל,יש בשכונה,306,רח' חניתה 64,חיפה,3244411,32.7900282,35.0136973,-4.556435224,1622
shu_307,יש קרית אתא- זבולון,שופרסל,יש בשכונה,307,רח.זבולון 4,קרית אתא,2806007,32.805805,35.1030579,-4.577509093,1608
shu_308,שלי קרית אתא- איינשטין,שופרסל,שופרסל שלי,308,איינשטיין 20,קרית אתא,2805152,32.809144,35.119773,6.671844814,3132
shu_310,שלי קרית חיים- דגניה,שופרסל,שופרסל שלי,310,ד.דגניה 14,קרית חיים,2621019,32.8287419,35.0601773,6.520003407,2504
shu_311,אקספרס רחובות- בוסתנאי,שופרסל,שופרסל אקספרס,311,בוסתנאי 14,רחובות,0,31.9035165,34.8122607,12.17693888,2298
shu_312,דיל חיפה- קרית אליעזר,שופרסל,שופרסל דיל,312,ככר מאירהוף,חיפה,35154,32.827336,34.982659,-3.895035248,3261
