store_code,store_name,chainname,subchainname,storeid,address,city,zipcode,latitude,longitude,average_price_diff,kashi_item_count
mah_241,241 אורה -ירושלים,מחסני השוק,מחסני השוק בשבילך,241.0,הנריטה סולד 1,ירושלים,,31.75494,35.1605834,-12.804779754617298,2679
mah_242,242 אפרת,מחסני השוק,מחסני השוק בשבילך,242.0,מרכז מסחרי ג רחוב 1,אפרת,,31.6570062,35.152073,-21.200241349024253,2253
mah_244,244 יבנה,מחסני השוק,מחסני השוק בשבילך,244.0,האגוז 2,יבנה,,31.87535339999999,34.7350096,-19.357930036223237,2497
mah_245,245 גדרה,מחסני השוק,מחסני השוק בשבילך,245.0,מנחם בגין 40,גדרה,,31.80367499999999,34.7848455,-14.441696049302935,2531
mah_246,246 חפץ חיים נתניה,מחסני השוק,מחסני השוק בשבילך,246.0,חפץ חיים 4,נתניה,,32.29564,34.845049,-13.446705189365668,2532
mah_247,247 לב יסמין נתניה,מחסני השוק,מחסני השוק בשבילך,247.0,פנחס ליבון 18,נתניה,,32.2833633823406,34.85369215470922,-14.481086236218163,2633
mah_250,250 עפולה מחסני השוק,מחסני השוק,מחסני השוק בסיטי,250.0,קפלן 10,עפולה,,32.6309394,35.3255424,-20.600539970239147,2329
mah_260,260 אשדוד דב גור,מחסני השוק,מחסני השוק בשבילך,260.0,דב גור 27,אשדוד,,31.7920608,34.6552344,-14.642835098938116,2430
mah_261,"261 ראשל""צ",מחסני השוק,מחסני השוק בשבילך,261.0,השדה 12,ראשון לציון,,31.963084507575793,34.79458462152449,-14.826311915553381,2342
mah_262,262 ויצמן נתניה,מחסני השוק,מחסני השוק בשבילך,262.0,הרצוג 23,נתניה,,32.31999235476718,34.85523069548115,-14.055619882800993,2536
mah_263,263 בנימין נתניה,מחסני השוק,מחסני השוק בשבילך,263.0,שדרות בנימין 60,נתניה,,32.283226,34.8534622,-14.231693245882406,2637
mah_264,264 פולג נתניה,מחסני השוק,מחסני השוק בשבילך,264.0,אמנון ותמר 6,נתניה,,32.274935224934374,34.847958303019254,-14.671306894222091,2512
mah_265,265 רחובות - גורודצקי,מחסני השוק,מחסני השוק בשבילך,265.0,גורודסקי 51,רחובות,,31.898435209318382,34.821684239149995,-14.777901347224411,2547
mah_267,267 צור הדסה-ירושלים,מחסני השוק,מחסני השוק בשבילך,267.0,רכסים 2,צור הדסה,,31.7130181,35.09893890000001,-14.400692221289512,2605
mah_268,268 נהריה מחסני השוק,מחסני השוק,מחסני השוק בשבילך,268.0,הזמיר 63,נהריה,,33.0030477,35.1062362,-17.724799267390694,2319
mah_274,274 ברקת אילת מחסני השוק,מחסני השוק,מחסני השוק בסיטי,274.0, ,אילת,,29.5502464,34.9474577,-34.737483166145395,2714
mah_277,"277 הראשונים ראשל""צ",מחסני השוק,מחסני השוק בשבילך,277.0,הנחשול 30,ראשון לציון,,31.9845279685415,34.782646824255245,-14.274622613426555,2619
mah_289,289 ניצה  נתניה,מחסני השוק,מחסני השוק בשבילך,289.0,שדרות ניצה 8,נתניה,,32.3365629,34.852049,-15.9694715319886,1864
osh_001,מגדל העמק,אושר עד,אושר עד,1.0,האיצטדיון 11,מגדל העמק,2303401.0,32.6696574,35.2368042,-13.451958358349636,1825
osh_003,גבעת שאול,אושר עד,אושר עד,3.0,בית הדפוס 29,ירושלים,9548334.0,31.7852087,35.1828468,-13.238257051361746,1776
osh_005,קרית ביאליק,אושר עד,אושר עד,5.0,"הנס מולר 6, צור שלום",קרית ביאליק,2751206.0,32.8618235,35.098291,-11.83150402418282,1795
osh_006,כנות,אושר עד,אושר עד,6.0,אדום 24 פארק התעשיות כנות,כנות,7982500.0,31.8113771,34.7675852,-12.695384451125763,1744
osh_009,אשדוד,אושר עד,אושר עד,9.0,בעלי המלאכה 4,אשדוד,7761205.0,31.8123216,34.6635063,-15.04195257250443,1827
osh_010,פתח תקווה - סגולה,אושר עד,אושר עד,10.0,בן ציון גליס 30,פתח תקווה,4927930.0,32.1056568,34.8919915,-13.878272567033237,1861
osh_011,בני ברק,אושר עד,אושר עד,11.0,הקישון 11,בני ברק,5120314.0,32.0989129,34.8300771,-15.056739889084044,1747
osh_013,באר שבע,אושר עד,אושר עד,13.0,הקוצר 15 אזור תעשיה עמק שרה,באר שבע,8480904.0,31.213135783007726,34.810774460109904,-11.381989821143708,1805
osh_014,חדרה,אושר עד,אושר עד,14.0,"המסגר 22 אזה""ת הצפוני",חדרה,3850169.0,32.4493907,34.914005,-11.704323382465473,1791
osh_016,בית שמש - גליל,אושר עד,אושר עד,16.0,מורדי הגיטאות 6,בית שמש,9958206.0,31.747651,34.990749,-13.661099531121488,1774
osh_018,ביתר עילית,אושר עד,אושר עד,18.0,ביתר עילית,ביתר עילית,0.0,31.704385684599483,35.1165733934329,-12.867308622546087,1739
